dataset,prec_train,recall_train,acc_train,prec_test,recall_test,acc_test
actor,0.5947751678754534,0.4809354272827774,0.5381966166855021,0.2607489813773196,0.24903525146507138,0.2859420406845334
chameleon,0.8179282247221977,0.8063240434695619,0.8064102564102564,0.6466353302041803,0.6344894031109402,0.6322368421052632
citeseer,1.0,1.0,1.0,0.6513069932745292,0.6520117562762591,0.6764
cora,1.0,1.0,1.0,0.7813358852908492,0.8173811462378203,0.8034955991875424
cornell,0.9271700210224231,0.9080662991553385,0.9746937584232529,0.3548034157109716,0.3388585713100276,0.5324869305451829
facebook,0.9312025463462319,0.9261955783160253,0.9333340694696209,0.9233008539178037,0.9176190088550236,0.9263556949082882
pubmed,1.0,1.0,1.0,0.7716462467957159,0.7817655923588126,0.7785
texas,0.9726251799670917,0.9668484848484848,0.9919540229885058,0.2968972515005124,0.2770573044105653,0.5108108108108108
wisconsin,0.9801738110684083,0.9550445053973211,0.9758333333333332,0.39788228735787623,0.4061515871513011,0.5352941176470588
