dataset,sparsity,explainer_name,num_test_nodes,gpu,f1_score_top,recall_top,precision_top,ged,auc_top,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,edge_mask size
syn6,0.7,distance,200.0,1.0,0.7246666666666667,0.7239999999999999,0.7254999999999999,2.395,0.9990497714575927,0.010153017478788176,1.0,0.00510245375245058,0.9990497714575927,0.615,0.005,0.5677747130393982,0.004474259912967682,0.7001013159751892,1184.0,0.0135,3810.34
syn6,0.7,gnnexplainer,200.0,1.0,0.21155555555555558,0.21100000000000002,0.21225000000000002,5.94,0.9742775520568817,0.3482427795556458,0.998,0.22780638041849002,0.9722666962925343,0.6,0.01,0.5545867085456848,0.004936452489346266,0.9485283493995667,203.21,5.4895,222.38
syn6,0.7,ig_node,200.0,1.0,0.19922222222222224,0.198,0.20075000000000004,3.84,0.409032249873032,0.004619850352983269,0.41,0.0023231811679106573,0.6151422041645506,0.005,0.62,-0.009462356567382812,0.5786420702934265,0.7001013159751892,1184.0,0.167,3937.07
syn6,0.7,occlusion,200.0,1.0,0.023000000000000003,0.023,0.023,4.92,0.030280218384966993,0.00030592220862573206,0.025,0.00015392511507410228,0.357516061452514,0.05,0.56,0.045718979090452194,0.5175912976264954,0.7001013159751892,1184.0,0.5154,3946.935
syn6,0.7,pagerank,200.0,1.0,0.6635555555555552,0.5989999999999999,0.7442500000000001,1.49,0.9997689182326055,0.01675041876046901,1.0,0.008445945945945945,0.9997689182326055,0.615,0.0,0.5677747130393982,0.00017723649216350168,0.7001013159751892,1184.0,0.0259,3946.0
syn6,0.7,pgmexplainer,200.0,1.0,0.3917777777777778,0.3710000000000001,0.41775000000000007,3.825,0.9827249873031996,0.05512984629632975,0.992,0.028653849212002157,0.9814446419502285,0.615,0.005,0.5677564740180969,0.0027118264697492123,0.8634752035140991,539.0,5.8096,757.95
syn6,0.7,random,200.0,1.0,0.0010000000000000002,0.001,0.001,10.715,0.5123612239715591,0.005214641448773137,0.527,0.002620285564911512,0.5063695403758253,0.275,0.455,0.25420790910720825,0.4348270893096924,0.7001013159751892,1184.0,0.0001,3947.0
syn6,0.7,sa_node,200.0,1.0,0.11322222222222222,0.10899999999999999,0.1185,4.69,0.10916785170137128,0.0013723852099108464,0.10899999999999999,0.0006907145438720678,0.42066658202133056,0.005,0.615,0.011237015947699547,0.5677747130393982,0.7001013159751892,1184.0,0.0035,3945.05
syn6,0.99,distance,200.0,1.0,0.7246666666666667,0.7239999999999999,0.7254999999999999,2.395,0.9990497714575927,0.26762574345303497,0.998,0.15459580743285056,0.9957512696800407,0.615,0.01,0.5677747130393982,-0.0027313707396388054,0.9901217818260193,39.0,0.0173,3810.34
syn6,0.99,gnnexplainer,200.0,1.0,0.2487777777777778,0.24800000000000005,0.24975000000000003,6.185,0.9711780726256982,0.34887810289668975,0.775,0.22927906579720855,0.8541413788725243,0.405,0.25,0.3665529489517212,0.23855170607566833,0.9913437366485596,34.175,2.5767,222.38
syn6,0.99,ig_node,200.0,1.0,0.19922222222222224,0.198,0.20075000000000004,3.84,0.409032249873032,0.12772122174118844,0.38,0.07693806298761047,0.6858197054342307,0.005,0.62,-0.008476047776639462,0.5818691253662109,0.9901217818260193,39.0,0.142,3937.07
syn6,0.99,occlusion,200.0,1.0,0.023000000000000003,0.023,0.023,4.92,0.030280218384966993,0.005547310568535386,0.023,0.003159764015027173,0.500866810563738,0.05,0.56,0.045443326234817505,0.5175939798355103,0.9901217818260193,39.0,0.4325,3946.935
syn6,0.99,pagerank,200.0,1.0,0.6635555555555552,0.5989999999999999,0.7442500000000001,1.49,0.9997689182326055,0.39959999999999996,0.9990000000000001,0.24975000000000003,0.9992731081767396,0.615,0.015,0.5677747130393982,0.03126819431781769,0.9901217818260193,39.0,0.0187,3946.0
syn6,0.99,pgmexplainer,200.0,1.0,0.38455555555555565,0.36400000000000005,0.41025,3.71,0.9846086846114779,0.2695045536840759,0.725,0.16586284064230683,0.8581702640934487,0.6,0.085,0.5514048933982849,0.07206079363822937,0.9901217818260193,39.0,3.7507,756.46
syn6,0.99,random,200.0,1.0,0.0020000000000000005,0.002,0.002,10.58,0.5061046216353479,0.005064431692338669,0.022000000000000002,0.0028617281248860195,0.5005657694261048,0.0,0.615,0.00027586848591454327,0.5680378079414368,0.9901217818260193,39.0,0.0001,3947.0
syn6,0.99,sa_node,200.0,1.0,0.11322222222222222,0.10899999999999999,0.1185,4.69,0.10916785170137128,0.035720232060030194,0.10899999999999999,0.02149659278121458,0.5501987049263586,0.005,0.615,0.009350677952170372,0.5677747130393982,0.9901217818260193,39.0,0.0033,3945.05
syn6,0.997,distance,200.0,1.0,0.7246666666666667,0.7239999999999999,0.7254999999999999,2.395,0.9990497714575927,0.728213161838162,0.945,0.5972494588744588,0.8654647028948704,0.475,0.28,0.4338625371456146,0.25617507100105286,0.9972136616706848,11.0,0.0179,3810.34
syn6,0.997,gnnexplainer,200.0,1.0,0.19955555555555557,0.199,0.20025,6.195,0.9736001142712037,0.2800746336996337,0.39899999999999997,0.2166424963924964,0.6171559801929913,0.22,0.56,0.1971786469221115,0.5051896572113037,0.9972136616706848,11.0,2.8052,222.38
syn6,0.997,ig_node,200.0,1.0,0.19922222222222224,0.198,0.20075000000000004,3.84,0.409032249873032,0.20393939393939395,0.23800000000000002,0.1788095238095238,0.6167529202640933,0.01,0.615,-0.0036782396491616964,0.601667582988739,0.9972136616706848,11.0,0.2634,3937.07
syn6,0.997,occlusion,200.0,1.0,0.023000000000000003,0.023,0.023,4.92,0.030280218384966993,0.014833333333333336,0.023,0.010954545454545455,0.5043810309801928,0.05,0.56,0.045443326234817505,0.5175939798355103,0.9972136616706848,11.0,0.524,3946.935
syn6,0.997,pagerank,200.0,1.0,0.6635555555555552,0.5989999999999999,0.7442500000000001,1.49,0.9997689182326055,0.8990909090909089,0.9890000000000001,0.8241666666666666,0.9443084052818691,0.615,0.005,0.5677747130393982,-0.011525901965796947,0.9972136616706848,11.0,0.024,3946.0
syn6,0.997,pgmexplainer,200.0,1.0,0.39422222222222225,0.37400000000000005,0.41950000000000004,3.755,0.9846295073641442,0.4538869463869464,0.501,0.4150595238095238,0.7383117064499746,0.52,0.24,0.4641616940498352,0.23330740630626678,0.9972136616706848,11.0,5.906,753.95
syn6,0.997,random,200.0,1.0,0.0020000000000000005,0.002,0.002,10.675,0.5105064753682071,0.005000000000000001,0.008,0.0036363636363636364,0.5006074149314371,0.0,0.615,0.0005288216634653509,0.5677747130393982,0.9972136616706848,11.0,0.0001,3947.0
syn6,0.997,sa_node,200.0,1.0,0.11322222222222222,0.10899999999999999,0.1185,4.69,0.10916785170137128,0.08970579420579419,0.10899999999999999,0.07694246031746031,0.5533663026917216,0.005,0.615,0.00558225205168128,0.5677747130393982,0.9972136616706848,11.0,0.0049,3945.05
